puzzle,solution
954870030003901000006300749809002007000560801060709324000004205000200013405138906,954876132273941658186325749839412567742563891561789324317694285698257413425138976
900076002273901608180300000030400507700503091060080020007694080098050403405038900,954876132273941658186325749839412567742563891561789324317694285698257413425138976
904070030203001650106020749000412500000060091560789004307000205698007410405000900,954876132273941658186325749839412567742563891561789324317694285698257413425138976
900070000000041050006023709830402560702000891061780320010090280008250013025108006,984576132273941658156823749839412567742365891561789324317694285698257413425138976
954876102000901058186503000839012067002000001000080020017694080090000400400038970,954876132273941658186523749839412567742365891561789324317694285698257413425138976
050000130000901058080003700830012060702005800561089024017600205690250403400108070,954876132273941658186523749839412567742365891561789324317694285698257413425138976
000806102073940050100500000830012000000060891561089324300000205608257413420000006,954876132273941658186523749839412567742365891561789324317694285698257413425138976
904000032270941650080503749830002560040365000500089020010094200090000413000030970,954876132273941658186523749839412567742365891561789324317694285698257413425138976
050870030203000008186503000839710000000365800001480020010604200690057010425100976,954876132273941658186523749839712564742365891561489327317694285698257413425138976
054870030200040158086520709039010004702305001001000320010090205608050010420030076,954871632273946158186523749839712564742365891561489327317694285698257413425138976
900001032203640050100020709830217060042000800000004320307406280090050010425108076,954871632273649158186523749839217564742365891561984327317496285698752413425138976
954000632270049058180500700030007504702305800060904300300006205690702400020038000,954871632273649158186523749839217564742365891561984327317496285698752413425138976
050071030003600108080500709839200500042060090560984007300490200600052013425038000,954871632273649158186523749839217564742365891561984327317496285698752413425138976
904001000273649100100003009809000560000060090501984007317000205008050410425100976,954871632273649158186523749839217564742365891561984327317496285698752413425138976
000871602203009108086003009039702504040365890060980020010000080698200013425000000,954871632273649158186523749839712564742365891561984327317496285698257413425138976
950871632003649100000000740039710000002000891561004320010006285098000000020108076,954871632273649158186523749839712564742365891561984327317496285698257413425138976
050071002200609108006203049000710004040065891061084007307096080008007413000100076,954871632273649158186253749839712564742365891561984327317496285698527413425138976
904000032203000058106203009009012004000360091501080327017000285690027013005000906,954871632273649158186253749839712564742365891561984327317496285698527413425138976
900178002203900150086200049039002000042300000500489300010094085608027010020800976,954178632273946158186253749839712564742365891561489327317694285698527413425831976
900078032070906150086253049000010004000305000501480307317600200000520410420801006,954178632273946158186253749839712564742365891561489327317694285698527413425831976
000170602270940100086200740000700524740305090000482000317690085860020000420830006,954178632273946158186253749638719524742365891591482367317694285869527413425831976
954108602200940100086000709008719020702060801000082000017690005069020010005831070,954178632273946158186253749638719524742365891591482367317694285869527413425831976
954000600273046058080200000030719000702360001091082060307600280800007403420831000,954178632273946158186253749638719524742365891591482367317694285869527413425831976
054108602200046108006003709600710024040005801501000067310090085000027003025031070,954178632273946158186253749638719524742365891591482367317694285869527413425831976
904008032070946008006050009630009500042360801501080300300604280869027003000001906,954178632273946158186253749638719524742365891591482367317694285869527413425831976
050018002070940100006050749608100524702000090001082367017090085809007410005001900,954718632273946158186253749638179524742365891591482367317694285869527413425831976
904710602270946100080200709030170020740305001501002007307000080069020400005830076,954718632273946158186253749638179524742365891591482367317694285869527413425831976
904718000000900100086053049630100004740300800090080307307690080860020403425001076,954718632273946158186253749638179524742365891591482367317694285869527413425831976
954718002270046108086250049008009000042365090591482307000600000000000003000030976,954718632273946158186253749638179524742365891591482367317694285869527413425831976
050708030203906050100250049008079000040005001090402367019620084807500003405800970,954718632273946158186253749638179425742365891591482367319627584867594213425831976
050718200070046000100003740608070020740060891500080307009000500827090013465031902,954718236273946158186253749638179425742365891591482367319627584827594613465831972
950718006203906000006003709630079025702300091500082360009027000007590610400030070,954718236273946158186253749638179425742365891591482367319627584827594613465831972
000000206003900158086053740600179020700360800000482367010020580027094610400030002,954718236273946158186253749638179425742365891591482367319627584827594613465831972
954700030203940158180003009630170025000365801000482000019607500000000013460801000,954718236273946158186253749638179425742365891591482367319627584827594613465831972
000710206000040058086250740608000025040360890501400007310607580827000600465830000,954718236273946158186253749638179425742365891591482367319627584827594613465831972
900710000073006058006000049600179425002305001501402060310000580027594010065031000,954718236273946158186253749638179425742365891591482367319627584827594613465831972
900708206070940158080050040030179000040360001501002007300600504820504600065801970,954718236273946158186253749638179425742365891591482367319627584827594613465831972
050010036203000158106203049600070005002065890000482000010007500800004613405830972,954718236273946158186253749638179425742365891591482367319627584827594613465831972
904718000003940008106053709638000425000000090591400307300607004820094613060001000,954718236273946158186253749638179425742365891591482367319627584827594613465831972
954708206070006150106253040630109000000060801001400067000607080827090010460030072,954718236273946158186253749638179425742365891591482367315627984827594613469831572
900718200372900108180003000008079000000060891291400060013620080020094010409031072,954718236372946158186253749638179425745362891291485367513627984827594613469831572
900018206002046150080203709638170000704000091000080060503607080007004013400831570,945718236372946158186253749638179425754362891291485367513627984827594613469831572
040708206072046000186050749608070400054062000090080300510627900820504010000831000,945718236372946158186253749638179425754362891291485367513627984827594613469831572
900008236300040001080053709638009005054360008290405060510007004820004600460801002,945718236372946851186253749638179425754362198291485367513627984827594613469831572
045170236302900800086053009600710000700062008000080007013600980800094010469031072,945178236372946851186253749638719425754362198291485367513627984827594613469831572
900100036000046800100250009600709420051400000294005000503027984027094603009801570,945178236372946851186253749638719425751462398294385167513627984827594613469831572
900070000372046801006253700630719425000400098000005000513007084020090000469031502,945178236372946851186253749638719425751462398294385167513627984827594613469831572
945008060072046801006000049000710405751400008094000010000620004007094130469800572,945178263372946851186253749638719425751462398294385617513627984827594136469831572
940170060300000051180250749638700405051402000094080017503020900820004030400001002,945178263372946851186253749638719425751462398294385617513627984827594136469831572
005108263000046850006003000000710405000062308094000607503007900827590006469831500,945178263372946851186253749638719425751462398294385617513627984827594136469831572
040078060070006000180000740630009000050462398004305000503607904827090106460830570,945178263372946851186253749638719425751462398294385617513627984827594136469831572
000070000302946850000253709630719000050462390290000607510620004007090036460030070,945178263372946851186253749638719425751462398294385617513627984827594136469831572
905001003072940801186253009030009425051000000204305000000600904000104036009538170,945871263372946851186253749638719425751462398294385617513627984827194536469538172
945701000370900001086050740000810425000400007200005618510027984708000536409000070,945781263372946851186253749637819425851462397294375618513627984728194536469538172
